date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-10-07,1527,鑽全,TWSE,138570640,13230204,9.54
2025-10-07,1528,恩德,TWSE,191331000,7748527,4.04
2025-10-07,1529,樂事綠能,TWSE,155095074,3074048,1.98
2025-10-07,1530,亞崴,TWSE,94594171,686364,0.72
2025-10-07,1531,高林股,TWSE,182108080,2469222,1.35
2025-10-07,1532,勤美,TWSE,422604271,34891997,8.25
2025-10-07,1533,車王電,TWSE,98547486,5874500,5.96
2025-10-07,1535,中宇,TWSE,123742552,1215438,0.98
2025-10-07,1536,和大,TWSE,278959513,21885540,7.84
2025-10-07,1537,廣隆,TWSE,82062794,12713175,15.49
2025-10-07,1538,正峰,TWSE,32300000,5461,0.01
2025-10-07,1539,巨庭,TWSE,65370000,1110057,1.69
2025-10-07,1540,喬福,TWSE,85473612,2579363,3.01
2025-10-07,1541,錩泰,TWSE,78800000,7837591,9.94
2025-10-07,1558,伸興,TWSE,66535631,4109532,6.17
2025-10-07,1560,中砂,TWSE,146277234,26836000,18.34
2025-10-07,1563,巧新,TWSE,230782140,3407120,1.47
2025-10-07,1568,倉佑,TWSE,103086559,1314476,1.27
2025-10-07,1582,信錦,TWSE,144268604,14577434,10.1
2025-10-07,1583,程泰,TWSE,110400372,284405,0.25
2025-10-07,1587,吉茂,TWSE,80055672,16305045,20.36
2025-10-07,1589,永冠-KY,TWSE,133135941,5346551,4.01
2025-10-07,1590,亞德客-KY,TWSE,199999998,148733625,74.36
2025-10-07,1597,直得,TWSE,89261804,2832190,3.17
2025-10-07,1598,岱宇,TWSE,179142092,3899432,2.17
2025-10-07,1603,華電,TWSE,191688000,8885522,4.63
2025-10-07,1604,聲寶,TWSE,384200000,29108084,7.57
2025-10-07,1605,華新,TWSE,4431332948,594511787,13.41
2025-10-07,1608,華榮,TWSE,632773506,20186822,3.19
2025-10-07,1609,大亞,TWSE,785261944,86349777,10.99
2025-10-07,1611,中電,TWSE,322735742,32006952,9.91
2025-10-07,1612,宏泰,TWSE,316080063,62458113,19.76
2025-10-07,1614,三洋電,TWSE,269113406,6049744,2.24
2025-10-07,1615,大山,TWSE,196663702,1688715,0.85
2025-10-07,1616,億泰,TWSE,194148515,11371819,5.85
2025-10-07,1617,榮星,TWSE,169514700,32661846,19.26
2025-10-07,1618,合機,TWSE,192691747,3885936,2.01
2025-10-07,1626,艾美特-KY,TWSE,149821721,65038357,43.41
2025-10-07,1702,南僑,TWSE,294132962,27368279,9.3
2025-10-07,1707,葡萄王,TWSE,148137373,21584574,14.57
2025-10-07,1708,東鹼,TWSE,249001651,23055113,9.25
2025-10-07,1709,和益,TWSE,477016272,10587975,2.21
2025-10-07,1710,東聯,TWSE,885703029,48298768,5.45
2025-10-07,1711,永光,TWSE,547752226,22584895,4.12
2025-10-07,1712,興農,TWSE,420492585,65055545,15.47
2025-10-07,1713,國化,TWSE,150951700,2499849,1.65
2025-10-07,1714,和桐,TWSE,991824808,163569578,16.49
2025-10-07,1717,長興,TWSE,1178265483,145607212,12.35
2025-10-07,1718,中纖,TWSE,1685905745,102024407,6.05
2025-10-07,1720,生達,TWSE,178696089,6762366,3.78
2025-10-07,1721,三晃,TWSE,184884092,7219804,3.9
2025-10-07,1722,台肥,TWSE,980000000,94352455,9.62
2025-10-07,1723,中碳,TWSE,236904480,17250515,7.28
2025-10-07,1725,元禎,TWSE,181829978,529029,0.29
2025-10-07,1726,永記,TWSE,162000000,21003154,12.96
2025-10-07,1727,中華化,TWSE,125365479,4659762,3.71
2025-10-07,1730,花仙子,TWSE,63233851,4285817,6.77
2025-10-07,1731,美吾華,TWSE,132915244,1357475,1.02
2025-10-07,1732,毛寶,TWSE,42443957,2856408,6.72
2025-10-07,1733,五鼎,TWSE,99950192,5767290,5.77
2025-10-07,1734,杏輝,TWSE,181139784,8548110,4.71
2025-10-07,1735,日勝化,TWSE,99388000,50146851,50.45
2025-10-07,1736,喬山,TWSE,303394617,15975626,5.26
2025-10-07,1737,臺鹽,TWSE,200000000,17168694,8.58
2025-10-07,1752,南光,TWSE,100988472,1951260,1.93
2025-10-07,1760,寶齡富錦,TWSE,85739013,10443157,12.18
2025-10-07,1762,中化生,TWSE,76918000,1384967,1.8
2025-10-07,1773,勝一,TWSE,300000000,16247158,5.41
2025-10-07,1776,展宇,TWSE,60106952,440734,0.73
2025-10-07,1783,和康生,TWSE,89680115,6511817,7.26
2025-10-07,1786,科妍,TWSE,72191688,3334659,4.61
2025-10-07,1789,神隆,TWSE,790739222,20269128,2.56
2025-10-07,1795,美時,TWSE,267043812,157218265,58.87
2025-10-07,1802,台玻,TWSE,2908060800,169784252,5.83
2025-10-07,1805,寶徠,TWSE,134970455,738351,0.54
2025-10-07,1806,冠軍,TWSE,390403870,29079894,7.44
2025-10-07,1808,潤隆,TWSE,992257493,28948441,2.91
2025-10-07,1809,中釉,TWSE,167041937,5331707,3.19
2025-10-07,1810,和成,TWSE,302303719,16413339,5.42
2025-10-07,1817,凱撒衛,TWSE,72600000,1753349,2.41
2025-10-07,1903,士紙,TWSE,260039121,29062478,11.17
2025-10-07,1904,正隆,TWSE,1108274522,93996857,8.48
2025-10-07,1905,華紙,TWSE,1102835316,32843907,2.97
2025-10-07,1906,寶隆,TWSE,151000000,1127528,0.74
2025-10-07,1907,永豐餘,TWSE,1660371495,204631589,12.32
2025-10-07,1909,榮成,TWSE,1327685727,126502746,9.52
2025-10-07,2002,中鋼,TWSE,15734860997,2270518267,14.42
2025-10-07,2002A,中鋼特,TWSE,38267999,96651,0.25
2025-10-07,2006,東和鋼鐵,TWSE,730213818,110971319,15.19
2025-10-07,2007,燁興,TWSE,530651613,2525437,0.47
2025-10-07,2008,高興昌,TWSE,190852293,14571028,7.63
2025-10-07,2009,第一銅,TWSE,359622165,7607369,2.11
2025-10-07,2010,春源,TWSE,647655390,61633301,9.51
2025-10-07,2012,春雨,TWSE,302162700,3964500,1.31
2025-10-07,2013,中鋼構,TWSE,200000000,15268539,7.63
2025-10-07,2014,中鴻,TWSE,1435544446,64368228,4.48
